accident_type,severity_class,year,x_etrs,y_etrs,lon,lat
MA,1,2022,25492973.000,6675893.310,24.873319,60.195790
MA,1,2022,25495258.260,6674907.680,24.914540,60.186977
MA,1,2022,25496689.660,6681059.290,24.940238,60.242204
MA,1,2022,25497087.950,6680858.950,24.947431,60.240409
MA,2,2022,25500128.620,6680740.360,25.002322,60.239355
MA,1,2022,25503109.430,6672154.890,25.055999,60.162285
MA,1,2022,25504466.780,6682314.550,25.080668,60.253459
MA,1,2022,25496186.840,6671275.910,24.931344,60.154390
MA,1,2022,25495595.840,6672436.600,24.920678,60.164801
MA,1,2022,25496529.160,6673097.540,24.937476,60.170743
MA,1,2022,25503101.930,6673918.560,25.055891,60.178115
MA,1,2022,25495332.360,6677344.770,24.915819,60.208851
MA,1,2022,25499390.340,6683037.750,24.988988,60.259974
MA,2,2022,25503856.550,6683382.640,25.069668,60.263052
MA,1,2022,25509656.620,6679041.160,25.174237,60.223989
MA,1,2022,25496289.600,6672224.490,24.933177,60.162905
MA,1,2022,25493689.420,6680195.230,24.886100,60.234413
MA,1,2022,25495038.280,6675380.340,24.910564,60.191216
MA,2,2022,25495378.000,6674705.740,24.916703,60.185166
MA,2,2022,25496403.710,6676151.880,24.935162,60.198156
MA,1,2022,25496865.900,6673055.290,24.943543,60.170366
MA,1,2022,25504386.290,6677581.400,25.079112,60.210978
MA,2,2022,25499106.110,6683539.530,24.983851,60.264477
MA,1,2022,25504180.250,6678925.570,25.075423,60.223045
MA,1,2022,25496020.110,6676055.420,24.928248,60.197286
MA,1,2022,25503279.290,6681858.540,25.059215,60.249378
MA,1,2022,25496346.800,6679773.510,24.934071,60.230661
MA,2,2022,25493092.220,6678057.810,24.875394,60.215219
MA,1,2022,25503172.280,6679671.680,25.057248,60.229751
MA,1,2022,25494481.210,6677000.650,24.900478,60.205752
MA,1,2022,25506080.940,6678705.920,25.109710,60.221050
MA,1,2022,25499609.480,6681052.860,24.992950,60.242159
MA,1,2022,25497298.830,6675995.150,24.951302,60.196756
MA,1,2022,25494503.500,6676240.510,24.900901,60.198930
MA,2,2022,25490799.800,6681973.370,24.833865,60.250317
MA,1,2022,25506489.710,6676495.960,25.117014,60.201208
MA,2,2022,25504983.500,6677461.110,25.089880,60.209892
MA,1,2022,25508263.420,6677463.130,25.149035,60.209857
MA,1,2022,25497018.970,6675766.480,24.946260,60.194701
MA,1,2022,25494462.660,6678466.130,24.900104,60.218905
MA,1,2022,25502311.920,6676662.180,25.041688,60.202745
MA,1,2022,25497100.660,6675702.860,24.947734,60.194131
MA,1,2022,25504873.040,6677714.610,25.087894,60.212168
MA,2,2022,25492382.400,6680076.070,24.862515,60.233321
MA,1,2022,25494270.220,6680654.000,24.896570,60.238539
MA,2,2022,25493133.790,6671233.770,24.876375,60.153972
MA,1,2022,25502953.380,6681205.050,25.053320,60.243515
MA,1,2022,25500868.580,6675172.400,25.015656,60.189379
MA,1,2022,25501779.770,6682581.100,25.032144,60.255872
MA,1,2022,25503814.460,6677289.210,25.068793,60.208362
MA,1,2022,25501210.950,6675454.880,25.021828,60.191914
MA,1,2022,25491891.640,6680677.530,24.853633,60.238710
MA,1,2022,25504224.840,6680664.090,25.076264,60.238648
MA,1,2022,25497442.380,6682445.530,24.953809,60.254651
MA,1,2022,25491121.650,6679701.800,24.839777,60.229937
MA,1,2022,25491557.050,6680673.680,24.847593,60.238669
MA,1,2022,25503876.010,6677296.810,25.069903,60.208429
MA,1,2022,25496380.620,6681027.940,24.934659,60.241920
MA,1,2022,25503004.040,6681259.190,25.054236,60.244000
MA,2,2022,25495714.060,6672917.060,24.922797,60.169115
MA,1,2022,25502872.280,6674203.940,25.051757,60.180678
MA,1,2022,25495341.130,6674686.430,24.916039,60.184992
MA,1,2022,25500485.650,6683822.670,25.008774,60.267019
MA,2,2022,25502542.410,6680480.840,25.045892,60.237017
MA,1,2022,25502635.290,6676574.660,25.047517,60.201957
MA,1,2022,25492275.370,6680346.690,24.860573,60.235748
MA,1,2022,25495648.920,6675264.050,24.921573,60.190180
MA,1,2022,25499824.340,6680946.330,24.996829,60.241203
MA,1,2022,25491979.280,6678904.840,24.855285,60.222801
MA,1,2022,25501010.860,6672935.000,25.018209,60.169297
MA,1,2022,25493927.980,6672053.020,24.890650,60.161337
MA,2,2022,25501947.380,6675480.550,25.035103,60.192141
MA,1,2022,25494491.060,6680327.320,24.900566,60.235610
MA,2,2022,25495637.160,6672434.070,24.921422,60.164779
MA,2,2022,25496020.630,6676086.430,24.928257,60.197565
MA,2,2022,25499840.670,6681049.060,24.997124,60.242125
MA,1,2022,25496259.210,6681011.930,24.932467,60.241775
MA,1,2022,25496465.520,6674709.910,24.936302,60.185214
MA,1,2022,25497378.610,6675248.590,24.952750,60.190056
MA,1,2022,25497633.900,6673797.040,24.957369,60.177029
MA,1,2022,25498314.370,6683397.490,24.969549,60.263200
MA,2,2022,25502723.470,6680076.930,25.049154,60.233391
MA,1,2022,25495994.580,6672539.780,24.927857,60.165732
MA,1,2022,25496576.780,6672990.850,24.938336,60.169785
MA,1,2022,25504850.870,6677969.200,25.087500,60.214454
MA,1,2022,25504327.090,6678840.690,25.078071,60.222282
MA,1,2022,25497690.670,6674101.590,24.958388,60.179763
MA,1,2022,25496787.030,6674584.500,24.942098,60.184091
MA,1,2022,25496890.010,6677309.400,24.943912,60.208549
MA,1,2022,25504194.600,6679504.750,25.075694,60.228243
MA,1,2022,25505942.020,6680553.390,25.107258,60.237633
MA,1,2022,25506878.490,6679566.190,25.124128,60.228758
MA,1,2022,25506203.430,6678835.480,25.111924,60.222211
MA,1,2022,25497394.530,6674542.480,24.953046,60.183718
MA,1,2022,25492986.330,6679426.840,24.873437,60.227505
MA,1,2022,25495130.550,6672415.640,24.912298,60.164608
MA,1,2022,25495714.940,6672143.370,24.922829,60.162171
MA,1,2022,25504318.190,6679471.300,25.077924,60.227942
MA,1,2022,25497667.030,6675801.760,24.957943,60.195022
MA,1,2022,25497796.320,6681313.720,24.960214,60.244495
MA,1,2022,25508254.970,6677463.290,25.148883,60.209858
MA,1,2022,25493987.130,6680209.730,24.891473,60.234548
MA,1,2022,25497980.000,6675099.980,24.963592,60.188725
MA,1,2022,25503068.490,6679830.550,25.055378,60.231177
MA,2,2022,25503426.780,6681962.860,25.061880,60.250313
MA,1,2022,25501259.890,6685665.730,25.022774,60.283559
MA,2,2022,25495618.200,6672801.700,24.921072,60.168079
MA,1,2022,25504773.320,6677930.890,25.086100,60.214111
MA,1,2022,25497399.580,6674496.210,24.953138,60.183303
MA,1,2022,25493851.730,6678180.550,24.889091,60.216333
MA,2,2022,25494003.990,6677344.150,24.891862,60.208828
MA,1,2022,25501881.820,6680859.030,25.033971,60.240415
MA,1,2022,25491802.020,6681320.390,24.851989,60.244478
MA,1,2022,25504984.270,6677566.180,25.089896,60.210835
MA,2,2022,25504323.930,6683753.760,25.078119,60.266378
MA,2,2022,25509175.840,6683261.690,25.165753,60.261881
MA,1,2022,25499016.660,6674572.020,24.982279,60.183990
MA,1,2022,25495575.220,6676801.280,24.920211,60.203976
MA,1,2022,25496875.140,6679906.770,24.943604,60.231861
MA,1,2022,25504766.240,6680772.440,25.086039,60.239615
MA,1,2022,25496058.250,6673948.680,24.928977,60.178378
MA,1,2022,25501777.770,6685514.540,25.032134,60.282201
MA,1,2022,25499082.900,6680885.820,24.983444,60.240659
MA,2,2022,25495397.340,6671082.890,24.917133,60.152649
MA,1,2022,25497047.840,6675442.740,24.946786,60.191796
MA,1,2022,25496218.240,6675546.430,24.931830,60.192720
MA,1,2022,25497724.800,6677808.690,24.958962,60.213036
MA,1,2022,25504507.440,6678796.700,25.081324,60.221885
MA,1,2022,25498072.280,6678038.160,24.965227,60.215097
MA,1,2022,25498727.770,6681051.650,24.977032,60.242147
MA,1,2022,25513228.110,6684563.320,25.239039,60.273452
MA,1,2022,25495345.850,6675223.180,24.916111,60.189809
MA,1,2022,25506769.720,6676893.060,25.122076,60.204768
MA,1,2022,25497123.380,6674869.640,24.948155,60.186653
MA,1,2022,25501845.830,6676245.350,25.033279,60.199006
MA,2,2022,25504198.560,6677388.480,25.075722,60.209249
MA,1,2022,25495985.810,6674328.400,24.927664,60.181785
MA,1,2022,25494332.490,6680370.470,24.897702,60.235995
MA,1,2022,25504175.900,6682218.700,25.075413,60.252602
MA,1,2022,25498128.170,6681296.590,24.966205,60.244343
