rank,count,weighted_score,sev_1,sev_2,sev_3,type_MA,type_PP,type_JK,type_MP,lat,lon
131,74,88.0,60,14,0,66,4,1,3,60.174923,24.918726
132,73,88.0,58,15,0,68,3,0,2,60.208405,24.899285
133,71,88.0,56,14,1,59,1,8,3,60.195356,24.954962
134,71,88.0,54,17,0,40,17,11,3,60.251076,25.008795
135,69,88.0,50,19,0,61,6,1,1,60.237660,25.107224
136,70,87.0,53,17,0,60,2,6,2,60.189233,24.947105
137,69,87.0,51,18,0,45,4,17,3,60.210919,25.078891
138,69,87.0,51,18,0,56,1,10,2,60.179078,24.949545
139,67,87.0,51,14,2,52,5,9,1,60.188987,24.952930
140,79,86.0,72,7,0,70,1,7,1,60.171203,24.947310
141,78,86.0,70,8,0,68,4,4,2,60.167339,24.949140
142,77,85.0,69,8,0,72,1,2,2,60.184864,24.915665
143,71,85.0,57,14,0,59,4,4,4,60.214193,25.086383
144,67,85.0,51,15,1,65,1,0,1,60.236605,24.857330
145,69,84.0,54,15,0,64,2,1,2,60.214367,24.884593
146,67,84.0,50,17,0,52,8,6,1,60.197278,24.928720
147,75,83.0,67,8,0,74,0,0,1,60.164471,24.915242
148,71,83.0,61,9,1,58,8,4,1,60.252293,25.006837
149,69,83.0,55,14,0,55,3,9,2,60.160968,24.941033
150,75,82.0,68,7,0,64,5,6,0,60.173768,24.933719
151,71,81.0,61,10,0,65,2,1,3,60.191180,24.906991
152,73,80.0,66,7,0,56,8,6,3,60.164992,24.952665
153,68,80.0,56,12,0,59,6,0,3,60.241216,24.996743
154,67,80.0,54,13,0,55,0,9,3,60.163186,24.945208
155,67,80.0,54,13,0,52,5,10,0,60.179146,24.952827
156,77,79.0,75,2,0,73,1,2,1,60.167037,24.938929
157,69,79.0,59,10,0,59,9,1,0,60.188984,24.966533
158,60,79.0,41,19,0,48,5,4,3,60.221550,24.943076
159,75,78.0,72,3,0,70,0,5,0,60.160997,24.946532
160,67,78.0,56,11,0,56,5,3,3,60.196900,24.961264
161,62,78.0,48,13,1,60,0,2,0,60.208916,24.968397
162,67,77.0,57,10,0,63,0,1,3,60.201569,24.963163
163,63,77.0,49,14,0,55,4,4,0,60.206714,24.879491
164,60,77.0,45,14,1,51,2,1,6,60.202726,24.945284
165,68,76.0,60,8,0,58,1,7,2,60.167929,24.955251
166,64,76.0,52,12,0,45,4,14,1,60.187069,24.953124
167,65,75.0,55,10,0,57,3,3,2,60.190530,24.914828
168,64,75.0,53,11,0,58,1,4,1,60.204958,24.899156
169,64,75.0,53,11,0,58,4,0,2,60.195188,24.901256
170,61,75.0,47,14,0,55,2,1,3,60.206983,24.928849
171,55,75.0,35,20,0,43,5,7,0,60.192539,24.909108
172,54,75.0,35,18,1,29,20,3,2,60.208933,25.056789
173,72,74.0,70,2,0,64,1,3,4,60.166857,24.935002
174,65,74.0,56,9,0,65,0,0,0,60.206931,24.927447
175,60,74.0,46,14,0,54,1,1,4,60.205161,24.966703
176,60,74.0,46,14,0,49,7,3,1,60.204867,25.048991
177,60,74.0,48,11,1,57,1,1,1,60.189629,24.920557
178,56,74.0,38,18,0,52,1,1,2,60.164291,24.907678
179,50,74.0,30,18,2,31,10,8,1,60.191290,24.924610
180,68,73.0,63,5,0,62,3,0,3,60.213336,24.885257
181,67,73.0,61,6,0,64,0,2,1,60.196930,24.935607
182,60,73.0,47,13,0,59,0,0,1,60.241530,25.049112
183,60,73.0,47,13,0,53,4,1,2,60.242334,25.020370
184,64,72.0,56,8,0,60,0,4,0,60.186929,24.915004
185,61,72.0,50,11,0,50,6,4,1,60.229049,25.011108
186,55,72.0,38,17,0,41,11,2,1,60.187283,24.975163
187,61,71.0,51,10,0,58,0,1,2,60.233731,24.859142
188,61,71.0,51,10,0,50,4,3,4,60.188934,24.958885
189,61,71.0,51,10,0,52,3,2,4,60.236638,25.081468
190,60,71.0,49,11,0,50,3,0,7,60.281285,25.028537
191,60,71.0,49,11,0,51,5,1,3,60.161008,24.875171
192,58,71.0,47,10,1,55,0,1,2,60.234751,24.887005
193,54,71.0,37,17,0,38,9,3,4,60.211240,24.881217
194,54,71.0,37,17,0,42,5,4,3,60.180628,24.924991
195,53,71.0,35,18,0,42,8,0,3,60.241035,24.980992
196,61,70.0,52,9,0,57,0,0,4,60.192670,24.952782
197,60,70.0,50,10,0,57,0,0,3,60.244830,24.948805
198,59,70.0,48,11,0,54,2,0,3,60.236578,24.898745
199,59,70.0,48,11,0,49,4,4,2,60.206971,24.945524
200,55,70.0,40,15,0,40,11,0,4,60.236838,24.888969
201,54,70.0,38,16,0,52,0,1,1,60.230599,25.053295
202,47,70.0,24,23,0,25,18,0,4,60.191189,24.950642
203,59,69.0,49,10,0,55,3,0,1,60.220749,24.933142
204,56,69.0,45,10,1,47,1,3,5,60.191177,24.961338
205,54,69.0,39,15,0,54,0,0,0,60.285347,25.014813
206,52,69.0,35,17,0,34,12,2,4,60.263124,25.068969
207,54,68.0,40,14,0,44,9,0,1,60.165045,24.911137
208,60,67.0,53,7,0,59,0,0,1,60.214501,24.883590
209,56,67.0,45,11,0,45,6,2,3,60.209183,24.889463
210,53,67.0,41,11,1,47,1,1,4,60.207329,24.900772
211,51,67.0,35,16,0,42,3,5,1,60.193490,24.958846
212,50,67.0,33,17,0,40,4,2,4,60.214346,24.878786
213,56,66.0,46,10,0,47,6,2,1,60.183372,24.918826
214,53,66.0,40,13,0,43,2,5,3,60.167022,24.962994
215,49,66.0,34,14,1,38,7,4,0,60.193188,24.906911
216,48,66.0,30,18,0,31,16,0,1,60.248841,25.007209
217,59,65.0,53,6,0,52,2,5,0,60.158955,24.934729
218,57,65.0,49,8,0,49,2,3,3,60.160608,24.939030
219,56,65.0,47,9,0,47,5,2,2,60.172238,24.945213
220,55,65.0,45,10,0,48,3,2,2,60.198687,24.947128
221,53,65.0,41,12,0,47,3,2,1,60.213461,24.958698
222,52,65.0,41,10,1,41,2,7,2,60.182952,24.952923
223,48,65.0,31,17,0,38,3,1,6,60.233340,24.862498
224,46,65.0,27,19,0,42,1,1,2,60.194874,25.042981
225,52,64.0,40,12,0,49,0,0,3,60.237560,24.908900
226,52,64.0,40,12,0,43,2,6,1,60.190802,24.962454
227,48,64.0,32,16,0,29,12,4,3,60.265637,25.042352
228,48,64.0,34,13,1,39,2,6,1,60.232800,25.011485
229,56,63.0,49,7,0,45,3,6,2,60.164785,24.944588
230,53,63.0,45,7,1,47,1,4,1,60.165322,24.935248
231,51,63.0,39,12,0,45,0,5,1,60.198755,24.961760
232,50,63.0,37,13,0,45,2,2,1,60.183273,24.915476
233,49,63.0,35,14,0,39,4,6,0,60.184808,24.960594
234,48,63.0,33,15,0,33,12,1,2,60.162822,24.903370
235,59,62.0,56,3,0,51,3,4,1,60.165171,24.949072
236,54,62.0,48,5,1,47,0,5,2,60.166719,24.929276
237,53,62.0,46,6,1,49,0,2,2,60.171206,24.960270
238,52,62.0,42,10,0,48,1,0,3,60.183645,24.931464
239,41,62.0,20,21,0,18,16,6,1,60.215225,24.958419
240,54,61.0,47,7,0,46,2,0,6,60.156438,24.950723
241,53,61.0,47,5,1,42,2,6,3,60.154453,24.942744
242,53,61.0,45,8,0,38,7,4,4,60.193439,24.954964
243,52,61.0,43,9,0,41,2,9,0,60.163132,24.941336
244,49,61.0,37,12,0,40,5,3,1,60.181423,24.954593
245,45,61.0,33,10,2,39,1,3,2,60.197633,24.948890
246,55,60.0,50,5,0,53,2,0,0,60.208754,24.892552
247,52,60.0,44,8,0,44,2,4,2,60.158512,24.941167
248,47,60.0,34,13,0,45,1,0,1,60.237006,25.040862
249,50,59.0,41,9,0,47,2,1,0,60.194718,24.947257
250,50,59.0,41,9,0,40,7,1,2,60.157534,24.933460
251,50,59.0,41,9,0,41,8,0,1,60.184309,24.931692
252,49,59.0,39,10,0,41,2,6,0,60.161374,24.927201
253,46,59.0,33,13,0,43,0,0,3,60.246586,24.948728
254,44,59.0,29,15,0,38,1,0,5,60.219209,25.043050
255,42,59.0,25,17,0,28,10,2,2,60.252778,25.014889
